id;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Code Departement;Nom Departement;Code Region;Nom Region;Geo Shape;Geo Point;X;Y
157;35039;Brece;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.477092486976559, 48.09643012430203]}";48.09643012430203, -1.477092486976559;366886,4088;6786785,676
158;35024;Betton;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.661383530212843, 48.16981053438917]}";48.16981053438917, -1.6613835302128435;353671,162;6795719,806
159;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.607237127187664, 48.1272679321658]}";48.1272679321658, -1.6072371271876635;357413,8055;6790763,859
160;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.622401112825247, 48.129872292857364]}";48.129872292857364, -1.6224011128252473;356304,457;6791118,688
161;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.688538406479656, 48.102818404257576]}";48.102818404257576, -1.6885384064796556;351214,1902;6788407,403
162;35189;Montgermont;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.717703010845179, 48.15117949773681]}";48.15117949773681, -1.7177030108451794;349368,0862;6793901,469
163;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.711294123719003, 48.096235670524706]}";48.096235670524706, -1.7112941237190027;349479,7493;6787777,928
164;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.609907289007801, 48.11786864917903]}";48.11786864917903, -1.6099072890078006;357154,5351;6789732,675
165;35278;Saint-Gregoire;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.685784034008323, 48.138728402693076]}";48.138728402693076, -1.6857840340083226;351655,5279;6792378,925
166;35206;Noyal-Chatillon-sur-Seiche;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.672498154716843, 48.063673977353595]}";48.063673977353595, -1.672498154716843;352148,7898;6783994,241
167;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.664433149748549, 48.099688332474194]}";48.099688332474194, -1.6644331497485494;352984,7809;6787953,964
